iso_2,stud_1950_2006,stud_2007
AD,0,0
AE,43,1
AF,29,0
AG,2,0
AI,0,0
AL,13,0
AM,0,0
AN,0,0
AO,6,0
AR,98,1
AS,3,0
AT,19,0
AU,65,0
AW,0,0
AZ,0,0
BA,1,0
BB,4,0
BD,297,5
BE,53,1
BF,73,0
BG,13,1
BH,7,0
BI,7,0
BJ,20,1
BM,0,0
BN,7,0
BO,140,3
BR,115,1
BS,2,0
BT,98,9
BW,91,3
BY,2,1
BZ,10,0
CA,90,0
CF,0,0
CG,15,0
CH,48,1
CK,1,0
CL,60,1
CM,112,6
CN,883,101
CO,351,9
CR,43,2
CU,145,1
CV,10,0
CY,57,0
CZ,7,1
DE,139,8
DJ,0,0
DK,37,0
DM,0,0
DO,11,0
DZ,112,1
EC,50,1
EE,0,0
EG,462,0
EH,0,0
ER,14,5
ES,83,1
ET,752,41
FI,6,1
FJ,34,1
FK,0,0
FR,78,0
GA,0,0
GB,178,3
GD,5,1
GE,6,7
GF,0,0
GH,362,29
GI,0,0
GL,0,0
GM,24,0
GN,11,0
GP,0,0
GQ,0,0
GR,53,0
GT,38,2
GU,0,0
GW,1,0
GY,25,2
HN,15,1
HR,8,0
HT,17,1
HU,20,1
ID,1188,57
IE,8,0
IL,62,0
IN,730,42
IQ,156,1
IS,3,0
IT,182,8
JM,90,1
JO,51,0
JP,88,3
KE,455,24
KG,4,0
KH,15,1
KI,0,0
KM,0,0
KN,0,0
KW,7,0
KY,0,0
KZ,1,0
LB,41,0
LC,4,0
LI,0,0
LK,478,19
LR,58,0
LS,36,0
LT,21,0
LU,4,0
LV,1,0
LY,88,0
MA,45,6
MC,1,0
MG,20,2
MH,0,0
ML,20,0
MM,172,1
MN,51,6
MP,0,0
MQ,0,0
MR,0,0
MS,0,0
MT,3,0
MU,6,1
MV,1,0
MW,80,0
MX,114,15
MY,208,4
MZ,55,2
NA,65,5
NC,0,0
NE,5,0
NF,0,0
NG,491,16
NO,42,1
NP,395,16
NR,0,0
NU,0,0
NZ,34,1
OM,46,3
PA,17,0
PE,167,2
PF,0,0
PG,23,0
PH,573,3
PK,282,14
PL,30,2
PM,0,0
PN,0,0
PR,2,0
PT,89,0
PW,0,0
PY,5,0
QA,10,0
RO,6,1
RU,57,0
RW,46,16
SA,219,5
SB,3,0
SC,0,0
SD,328,1
SE,28,1
SG,11,0
SH,0,0
SI,8,1
SK,6,0
SL,57,0
SM,0,0
SN,43,2
SO,29,0
SR,27,2
ST,0,0
SV,10,0
SY,162,0
SZ,32,0
TC,3,0
TD,3,0
TG,1,0
TH,533,19
TJ,0,0
TK,0,0
TL,0,0
TM,0,0
TN,71,0
TO,11,0
TR,209,6
TT,26,0
TV,0,0
UA,1,3
UG,292,11
UY,38,0
UZ,3,1
VE,98,1
VN,124,9
VU,0,0
WS,0,0
YE,37,2
YU,37,0
ZA,102,5
ZM,259,9
ZW,138,10
